㐆,⿻尸？,尸
㐌,⿱亻也,亻
㐬,⿱亠川,川
㐭,⿱亠回,亠
㐱,⿱人彡,彡
㒸,⿱丷豕,豕
㒼,⿱廿？,巾
㓞,⿰丰刀,刀
㔾,⿱？㔾,㔾
㕡,⿰谷又,谷
㝵,⿱日寸,寸
㠯,⿻己？,己
㡭,⿺纟？,纟
㢆,⿸广里,广
㢟,⿰廴止,廴
㣎,⿱白彡,白
㥯,⿱？心,心
㧜,⿰扌匝,扌
㬎,⿱日灬,日
㲋,⿱⺈比,比
㳄,⿰氵欠,氵
㼌,⿰瓜瓜,瓜
㿽,⿱兮皿,皿
䍃,⿱爫缶,缶
䕭,⿱艹燅,艹
䙴,⿱覀㔾,覀
䜌,⿲糹言糹,糹
䠀,⿰足尚,足
䧹,⿸广倠,隹
䰾,⿰魚巴,魚
䴉,⿰睘鳥,鳥
一,⿱一？,一
丁,⿱一？,一
丂,⿱一？,一
七,⿱一乚,一
丄,⿱丨一,一
万,⿱一？,一
丈,⿱一又,一
三,⿱一二,一
上,⿱⺊一,一
下,⿱一卜,一
丌,⿱一？,一
不,⿱一？,一
与,口,一
丏,⿱一？,一
丐,⿱一？,一
丑,口,一
专,口,一
且,⿱月一,一
丕,⿱不一,一
世,口,一
丘,⿱斤一,一
丙,⿱一内,一
业,⿱？一,一
丛,⿱从一,一
东,⿱？小,一
丝,⿱？一,一
丞,⿱氶一,一
丟,⿱一厶,一
丢,⿱一厶,一
两,⿱一？,一
严,⿱一？,一
並,⿱丷亚,一
丧,⿱？衣,十
丨,⿱？丨,丨
丩,⿰？丨,丨
个,⿱人丨,丨
丫,⿱丷丨,丨
中,口,丨
丰,口,丨
串,口,丨
临,⿰刂？,丨
丵,⿱业干,业
丸,口,九
丹,口,丶
为,口,丶
主,⿱丶王,丶
丽,⿱一？,一
举,口,兴
乃,口,丿
久,口,丿
么,口,丿
义,口,丿
之,口,丿
乌,口,丿
乍,口,丿
乎,口,丿
乏,⿱丿之,丿
乐,⿱丿？,丿
乑,⿱丿？,丿
乒,口,丿
乓,口,丿
乔,⿱丿？,大
乖,口,丿
乘,口,丿
乙,口,乙
乜,口,乚
九,口,乙
乞,口,乙
也,口,乚
习,口,冫
乡,口幺,幺
书,口,丨
乩,⿰占乚,乚
买,口,大
乱,⿰舌乚,乚
乳,⿰孚乚,乚
乶,⿱甫乙,乙
乹,⿰龺乚,乚
乾,⿰龺乞,乙
乿,⿰？乚,乚
亂,⿰？乚,乚
了,口,亅
予,口予,亅
争,⿱𠂊亅,亅
事,⿱一亅,亅
二,⿱一一,二
亍,⿱一丁,二
于,⿱一？,二
亏,⿱一？,二
云,⿱一厶,二
互,⿱一？,二
亓,⿱一？,二
五,⿱一？,二
井,口,二
亘,⿱一旦,二
亙,⿱一？,二
亚,⿱一业,一
些,口,二
亞,⿱一？,二
亟,⿱？一,一
亠,⿱亠？,亠
亡,⿱亠？,亠
亢,⿱亠几,亠
交,⿱亠？,亠
亥,⿱亠？,亠
亦,⿱亠？,亠
产,⿱亠厂,亠
亨,⿱亠了,亠
亩,⿱亠田,亠
享,⿱亠子,亠
京,⿱亠小,亠
亭,⿱亠丁,亠
亮,⿱亠几,亠
亲,⿱立小,立
亳,⿱亠乇,亠
亵,⿱亠衣,亠
亶,⿱亠旦,亠
亹,⿱亠舋,亠
人,口,人
亼,⿱人一,人
亾,⿺？人,人
亿,⿰亻乙,亻
什,⿰亻十,亻
仁,⿰亻二,亻
仂,⿰亻力,亻
仃,⿰亻丁,亻
仄,⿸厂人,人
仅,⿰亻又,亻
仆,⿰亻卜,亻
仇,⿰亻九,亻
仉,⿰亻几,亻
今,⿱人？,人
介,⿱人？,人
仌,⿱人人,人
仍,⿰亻乃,亻
从,口,人
仑,⿱人匕,人
仓,⿱人㔾,人
仔,⿰亻子,亻
仕,⿰亻士,亻
他,⿰亻也,亻
仗,⿰亻丈,亻
付,⿰亻寸,亻
仙,⿰亻山,亻
仝,⿱人工,人
仞,⿰亻刃,亻
仟,⿰亻千,亻
仡,⿰亻乞,亻
代,⿰亻弋,亻
令,⿱人？,人
以,口,人
仨,⿰亻三,亻
仪,⿰亻义,亻
仫,⿰亻么,亻
们,⿰亻门,亻
仰,⿰亻卬,亻
仲,⿰亻中,亻
仳,⿰亻比,亻
仵,⿰亻午,亻
件,⿰亻牛,亻
价,⿰亻介,亻
任,⿰亻壬,亻
份,⿰亻分,亻
仿,⿰亻方,亻
企,⿱人止,人
伄,⿰亻弔,亻
伉,⿰亻亢,亻
伊,⿰亻尹,亻
伍,⿰亻五,亻
伎,⿰亻支,亻
伏,⿰亻犬,亻
伐,⿰亻戈,亻
休,⿰亻木,亻
伕,⿰亻夫,亻
众,品人,人
优,⿰亻尤,亻
伙,⿰亻火,亻
会,⿱人云,人
伛,⿰亻区,亻
伞,⿱人？,人
伟,⿰亻韦,亻
传,⿰亻专,亻
伢,⿰亻牙,亻
伤,⿰亻？,亻
伥,⿰亻长,亻
伦,⿰亻仑,亻
伧,⿰亻仓,亻
伪,⿰亻为,亻
伫,⿰亻？,亻
伯,⿰亻白,亻
估,⿰亻古,亻
伲,⿰亻尼,亻
伴,⿰亻半,亻
伶,⿰亻令,亻
伸,⿰亻申,亻
伺,⿰亻司,亻
似,⿰亻以,亻
伽,⿰亻加,亻
伾,⿰亻丕,亻
佃,⿰亻田,亻
但,⿰亻旦,亻
佇,⿰亻宁,亻
佈,⿰亻布,亻
佉,⿰亻去,亻
位,⿰亻立,亻
低,⿰亻氐,亻
住,⿰亻主,亻
佐,⿰亻左,亻
佑,⿰亻右,亻
体,⿰亻本,亻
佔,⿰亻占,亻
何,⿰亻可,亻
佗,⿰亻它,亻
佘,⿱人示,人
余,⿱人示,人
佚,⿰亻失,亻
佛,⿰亻弗,亻
作,⿰亻乍,亻
佝,⿰亻句,亻
佞,⿰亻？,亻
佟,⿰亻冬,亻
你,⿰亻尔,亻
佣,⿰亻用,亻
佤,⿰亻瓦,亻
佥,⿱人一,人
佧,⿰亻卡,亻
佩,⿰亻？,亻
佬,⿰亻老,亻
佯,⿰亻羊,亻
佰,⿰亻百,亻
佳,⿰亻圭,亻
佴,⿰亻耳,亻
併,⿰亻并,亻
佶,⿰亻吉,亻
佻,⿰亻兆,亻
佼,⿰亻交,亻
佽,⿰亻次,亻
佾,⿰亻？,亻
使,⿰亻吏,亻
侃,⿰亻？,亻
侄,⿰亻至,亻
來,口,人
侈,⿰亻多,亻
侉,⿰亻夸,亻
例,⿰亻列,亻
侌,⿱今云,人
侍,⿰亻寺,亻
侏,⿰亻朱,亻
侑,⿰亻有,亻
侔,⿰亻牟,亻
侖,⿱人？,人
侗,⿰亻同,亻
供,⿰亻共,亻
依,⿰亻衣,亻
侠,⿰亻夹,亻
侣,⿰亻吕,亻
侥,⿰亻尧,亻
侦,⿰亻贞,亻
侧,⿰亻则,亻
侨,⿰亻乔,亻
侩,⿰亻会,亻
侪,⿰亻齐,亻
侬,⿰亻农,亻
侮,⿰亻每,亻
侯,⿰亻矦,亻
侵,⿰亻？,亻
侶,⿰亻呂,亻
侷,⿰亻局,亻
便,⿰亻更,亻
係,⿰亻系,亻
促,⿰亻足,亻
俄,⿰亻我,亻
俅,⿰亻求,亻
俉,⿰亻吾,亻
俊,⿰亻夋,亻
俎,⿰仌且,人
俏,⿰亻肖,亻
俐,⿰亻利,亻
俑,⿰亻甬,亻
俗,⿰亻谷,亻
俘,⿰亻孚,亻
俚,⿰亻里,亻
俛,⿰亻免,亻
俜,⿰亻甹,亻
保,⿰亻呆,亻
俞,⿱人刖,人
俟,⿰亻矣,亻
俠,⿰亻夾,亻
信,⿰亻言,亻
俣,⿰亻吴,亻
俦,⿰亻寿,亻
俨,⿰亻严,亻
俩,⿰亻两,亻
俪,⿰亻丽,亻
俭,⿰亻佥,亻
修,⿰亻？,亻
俯,⿰亻府,亻
俱,⿰亻具,亻
俳,⿰亻非,亻
俸,⿰亻奉,亻
俺,⿰亻奄,亻
俾,⿰亻卑,亻
倀,⿰亻長,亻
倆,⿰亻兩,亻
倉,⿱人口,人
個,⿰亻固,亻
倌,⿰亻官,亻
倍,⿰亻咅,亻
倏,⿰亻？,亻
們,⿰亻門,亻
倒,⿰亻到,亻
倔,⿰亻屈,亻
倖,⿰亻幸,亻
倘,⿰亻尚,亻
候,⿰亻矦,亻
倚,⿰亻奇,亻
倜,⿰亻周,亻
倝,⿰龺人,人
倞,⿰亻京,亻
借,⿰亻昔,亻
倠,⿰亻隹,亻
倡,⿰亻昌,亻
倥,⿰亻空,亻
倦,⿰亻卷,亻
倨,⿰亻居,亻
倩,⿰亻青,亻
倪,⿰亻兒,亻
倫,⿰亻侖,亻
倬,⿰亻卓,亻
倭,⿰亻委,亻
倮,⿰亻果,亻
债,⿰亻责,亻
倻,⿰亻耶,亻
值,⿰亻直,亻
倾,⿰亻顷,亻
偃,⿰亻匽,亻
假,⿰亻叚,亻
偈,⿰亻曷,亻
偉,⿰亻韋,亻
偌,⿰亻若,亻
偎,⿰亻畏,亻
偏,⿰亻扁,亻
偕,⿰亻皆,亻
做,⿰亻故,亻
俴,⿰亻戔,亻
停,⿰亻亭,亻
健,⿰亻建,亻
偬,⿰亻怱,亻
側,⿰亻則,亻
偵,⿰亻貞,亻
偶,⿰亻禺,亻
偷,⿰亻俞,亻
偻,⿰亻娄,亻
偽,⿰亻為,亻
偾,⿰亻贲,亻
偿,⿰亻尝,亻
傀,⿰亻鬼,亻
傅,⿰亻尃,亻
傈,⿰亻栗,亻
傍,⿰亻旁,亻
傑,⿰亻桀,亻
傕,⿰亻隺,亻
傖,⿰亻倉,亻
傘,⿱人十,人
備,⿰亻？,亻
傚,⿰亻效,亻
傢,⿰亻家,亻
傣,⿰亻泰,亻
傥,⿰亻党,亻
傧,⿰亻宾,亻
储,⿰亻诸,亻
傩,⿰亻难,亻
催,⿰亻崔,亻
傭,⿰亻庸,亻
傯,⿰亻悤,亻
傲,⿰亻敖,亻
傳,⿰亻專,亻
債,⿰亻責,亻
傷,⿰亻昜,亻
傺,⿰亻祭,亻
傻,⿰亻？,亻
傾,⿰亻頃,亻
傿,⿰亻焉,亻
僂,⿰亻婁,亻
僅,⿰亻堇,亻
僉,⿱人从,人
像,⿰亻象,亻
僑,⿰亻喬,亻
僕,⿰亻菐,亻
僖,⿰亻喜,亻
僚,⿰亻尞,亻
僥,⿰亻堯,亻
僦,⿰亻就,亻
僧,⿰亻曾,亻
僬,⿰亻焦,亻
僭,⿰亻朁,亻
僮,⿰亻童,亻
僱,⿰亻雇,亻
僳,⿰亻粟,亻
僵,⿰亻畺,亻
價,⿰亻賈,亻
僻,⿰亻辟,亻
儀,⿰亻義,亻
儂,⿰亻農,亻
億,⿰亻意,亻
儅,⿰亻當,亻
儆,⿰亻敬,亻
儇,⿰亻睘,亻
儈,⿰亻會,亻
儉,⿰亻僉,亻
儋,⿰亻詹,亻
儒,⿰亻需,亻
儕,⿰亻齊,亻
儘,⿰亻盡,亻
償,⿰亻賞,亻
儡,⿰亻畾,亻
優,⿰亻憂,亻
儲,⿰亻諸,亻
儷,⿰亻麗,亻
儸,⿰亻羅,亻
儺,⿰亻難,亻
儻,⿰亻黨,亻
儼,⿰亻嚴,亻
儿,⿱？儿,儿
兀,⿱一儿,兀
允,⿱厶儿,儿
元,⿱二儿,儿
兄,⿱口儿,儿
充,⿱亠允,儿
兆,⿱？儿,儿
兇,⿱凶儿,儿
先,⿱？儿,儿
光,⿱光儿,儿
克,⿱古儿,儿
兌,⿱八儿,儿
免,⿱⺈儿,儿
兑,⿱丷兄,儿
兒,⿱臼儿,儿
兓,⿰旡旡,儿
兔,⿱⺈儿,儿
兕,⿱凹儿,儿
兖,⿱六儿,儿
兗,⿱六儿,儿
党,⿱尚儿,儿
兜,⿱？儿,儿
兟,⿰先先,儿
兢,⿰克克,儿
入,口,入
內,⿵冂？,入
全,⿱人王,人
兩,⿱一？,入
八,口,八
公,口,八
六,⿱亠八,八
兮,口,八
兰,⿱丷三,丷
共,⿱？八,八
关,⿱丷天,丷
兴,⿱⺍八,八
兵,⿱丘八,八
其,⿱？八,八
具,⿱？八,八
典,⿱曲八,八
兹,⿱丷？,艹
养,⿱羊儿,丷
兼,⿱丷？,丷
兽,⿱丷口,丷
冀,⿱北八,八
冁,⿰单展,丷
冂,⿵冂？,冂
内,⿵冂人,入
円,⿵冂丄,冂
冈,⿵冂乂,冂
冉,⿵冂土,冂
冊,⿵冂卄,冂
冋,⿵冂口,冂
册,口,冂
再,⿱一冉,冂
冎,⿱？冂,冂
冏,⿵冂？,冂
冑,⿱由⺼,⺼
冒,⿱日目,冂
冓,⿱井再,冂
冕,⿱日免,冂
冖,⿱冖？,冖
冗,⿱冖几,冖
冘,⿱冖乚,冖
写,⿱冖与,冖
军,⿱冖车,车
农,⿱冖？,冖
冝,⿱冖且,冖
冠,⿱冖寸,冖
冡,⿱冖豕,冖
冢,⿱冖豖,冖
冣,⿱冖取,冖
冤,⿱冖兔,冖
冥,⿱冖六,冖
冪,⿱冖幕,冖
冫,⿰冫？,冫
冬,口,⺀
冯,⿰冫马,马
冰,⿰冫水,冫
冱,⿰冫互,冫
冲,⿰冫中,冫
决,⿰冫夬,冫
况,⿰冫兄,冫
冶,⿰冫台,冫
冷,⿰冫令,冫
冻,⿰冫东,冫
冼,⿰冫先,冫
冽,⿰冫列,冫
净,⿰冫争,冫
凄,⿰冫妻,冫
准,⿰冫隹,冫
凇,⿰冫松,冫
凈,⿰冫爭,冫
凉,⿰冫京,冫
凋,⿰冫周,冫
凌,⿰冫夌,冫
凍,⿰冫東,冫
减,⿰冫咸,冫
凑,⿰冫奏,冫
凛,⿰冫禀,冫
凜,⿰冫稟,冫
凝,⿰冫疑,冫
几,⿵几X,几
凡,⿵几丶,几
凤,⿵几又,几
凩,⿵几木,几
凪,⿵几止,几
凧,⿵几巾,几
凮,⿵几百,几
凨,⿵几云,几
㓘,⿵几？,几
凲,⿵几兼,几
処,⿰夂几,夂
凫,⿱鸟几,几
凴,⿱馮几,几
凭,⿱任几,几
凯,⿰岂几,几
凰,⿵几皇,几
凱,⿰豈几,几
凳,⿱登几,几
凵,⿶凵？,凵
凶,⿶凵乂,凵
凸,⿶凵？,凵
凹,⿶凵？,凵
出,口,凵
击,口,凵
凷,⿶凵土,凵
凼,⿶凵水,凵
函,⿶凵了,凵
凾,⿶凵了,凵
凿,⿶凵丵,凵
刀,口,刀
刁,口,刁
刂,⿰？刂,刂
刃,口,刀
刅,口,刀
分,口,刀
切,⿰土刀,刀
刈,⿰乂刂,刂
刊,⿰干刂,刂
刍,⿱⺈彐,彐
刎,⿰勿刂,刂
刑,⿰开刂,刂
划,⿰戈刂,刂
刖,⿰⺼刂,刂
列,⿰歹刂,刂
刘,⿰文刂,刂
则,⿰贝刂,刂
刚,⿰冈刂,刂
创,⿰仓刂,刂
初,⿰衤刀,刀
删,⿰册刂,刂
判,⿰半刂,刂
別,⿰另刂,刂
刨,⿰包刂,刂
利,⿰禾刂,刂
刪,⿰冊刂,刂
别,⿰另刂,刂
刭,⿰？刂,刂
刮,⿰舌刂,刂
到,⿰至刂,刂
刳,⿰夸刂,刂
制,⿰？刂,刂
刷,⿰？刂,刂
券,⿱龹刀,刀
刹,⿰杀刂,刂
刺,⿰朿刂,刂
刻,⿰亥刂,刂
刽,⿰会刂,刂
刿,⿰岁刂,刂
剀,⿰岂刂,刂
剁,⿰朵刂,刂
剂,⿰齐刂,刂
剃,⿰弟刂,刂
則,⿰貝刂,刂
削,⿰肖刂,刂
剋,⿰克刂,刂
剌,⿰束刂,刂
前,⿱丷刂,刂
剎,⿰杀刂,刂
剐,⿰呙刂,刂
剑,⿰佥刂,刂
剔,⿰易刂,刂
剖,⿰咅刂,刂
剛,⿰岡刂,刂
剜,⿰宛刂,刂
剝,⿰彔刂,刂
剞,⿰奇刂,刂
剡,⿰炎刂,刂
剥,⿰录刂,刂
剧,⿰居刂,刂
剩,⿰乘刂,刂
剪,口,刀
剮,⿰咼刂,刂
副,⿰畐刂,刂
割,⿰害刂,刂
剳,⿰荅刂,刂
創,⿰倉刂,刂
剷,⿰産刂,刂
剽,⿰票刂,刂
剿,⿰巢刂,刂
劁,⿰焦刂,刂
劂,⿰厥刂,刂
劃,⿰畫刂,刂
劄,⿰答刂,⺮
劇,⿰豦刂,刂
劈,⿱辟刀,刀
劉,⿰？刂,刂
劊,⿰會刂,刂
劍,⿰僉刂,刂
劐,⿰蒦刂,刂
劑,⿰齊刂,刂
劓,⿰鼻刂,刂
力,口,力
劝,⿰又力,力
办,口,力
功,⿰工力,力
加,口,力
务,⿱夂力,夂
劢,⿰万力,力
劣,⿱少力,力
劦,品力,力
动,⿰云力,力
助,⿰且力,力
努,⿱奴力,力
劫,⿰去力,力
劬,⿰句力,力
劭,⿰召力,力
励,⿰厉力,力
劲,⿰巠力,力
劳,⿱艹力,力
劵,⿱龹力,力
劼,⿰吉力,力
劾,⿰亥力,力
势,⿱执力,力
勁,⿰巠力,力
勃,⿰孛力,力
勇,⿱甬力,力
勈,⿰甬力,力
勉,⿰免力,力
勋,⿰员力,力
勐,⿰孟力,力
勒,⿰革力,力
動,⿰重力,力
勖,⿰冒力,力
勘,⿰甚力,力
務,⿰矛务,力
勛,⿰員力,力
勝,⿰⺼劵,力
勞,⿱炏力,力
募,⿱莫力,力
勢,⿱埶力,力
勤,⿰堇力,力
勦,⿰巢力,力
勰,⿰劦思,力
勳,⿰熏力,力
勵,⿰厲力,力
勸,⿰雚力,力
勹,⿹勹？,勹
勺,⿹勹丶,勹
勻,⿹勹二,勹
勾,⿹勹厶,勹
勿,⿹勹？,勹
匀,⿹勹冫,勹
包,⿹勹巳,勹
匆,⿹勹？,勹
匈,⿹勹凶,勹
匊,⿹勹米,勹
匋,⿹勹缶,勹
匍,⿹勹甫,勹
匏,⿰夸包,勹
匐,⿹勹畐,勹
匕,口,匕
化,⿰亻匕,匕
北,口,匕
匙,⿰是匕,匕
匚,⿷匚？,匚
匛,⿷匚久,匚
匝,⿷匚巾,匚
匠,⿷匚斤,匚
匡,⿷匚王,匚
匣,⿷匚甲,匚
匦,⿷匚轨,匚
匧,⿷匚夾,匚
匪,⿷匚非,匚
匭,⿷匚軌,匚
匮,⿷匚贵,匚
匯,⿷匚淮,匚
匱,⿷匚貴,匚
匸,⿷匚？,匸
匹,⿷匚儿,匸
区,⿷匚乂,匸
医,⿷匚矢,匸
匽,⿷匚妟,匸
匾,⿷匚扁,匸
匿,⿷匚若,匸
區,⿷匚品,匸
十,口,十
卂,⿹乙十,十
千,⿱丿十,十
卄,⿰十十,十
卅,⿻一川,十
升,口,十
午,⿱？十,十
卉,口,十
半,口,十
卌,⿻一？,十
华,⿱化十,十
协,⿰十办,十
卑,⿱白十,十
卒,⿱亠十,十
卓,⿱？十,十
協,⿰十劦,十
单,⿱丷十,丷
卖,⿱十买,十
南,⿱十冂,十
博,⿰十尃,十
卜,口,卜
卞,⿱亠卜,卜
卟,⿰口卜,口
占,⿱⺊口,⺊
卡,口,卜
卢,口,⺊
卣,⿱⺊囗,⺊
卤,口,卤
卦,⿰圭卜,卜
卧,⿰臣卜,臣
卩,⿰？卩,卩
卫,⿱卩一,乛
卬,⿰匕卩,卩
卮,⿸厂㔾,㔾
卯,⿰？卩,卩
印,⿰？卩,卩
危,⿱𠂊㔾,㔾
即,⿰？卩,卩
却,⿰去卩,卩
卵,⿰？卩,卩
卷,⿱龹㔾,㔾
卸,⿰？卩,卩
卹,⿰血卩,卩
卺,⿱丞㔾,㔾
卻,⿰谷卩,卩
卿,⿰卯卩,卩
厂,⿸厂？,厂
厃,⿸厂？,厂
厄,⿸厂㔾,厂
厅,⿸厂丁,厂
历,⿸厂力,厂
厉,⿸厂万,厂
压,⿸厂土,厂
厌,⿸厂犬,厂
厍,⿸厂车,厂
厓,⿸厂？,厂
厕,⿸厂则,厂
厗,⿸厂辛,厂
厘,⿸厂里,厂
厚,⿸厂？,厂
厝,⿸厂昔,厂
原,⿸厂泉,厂
厢,⿸厂相,厂
厣,⿸厂？,厂
厤,⿸厂秝,厂
厥,⿸厂欮,厂
厦,⿸厂夏,厂
厨,⿸厂？,厂
厩,⿸厂既,厂
厪,⿸厂堇,厂
厭,⿸厂猒,厂
厮,⿸厂斯,厂
厲,⿸厂萬,厂
厶,⿱厶？,厶
厷,⿸？厶,厶
厹,⿱九厶,厶
去,⿱土厶,厶
厽,品厶,厶
县,⿱且厶,厶
叀,⿱？厶,厶
叁,⿱厶三,厶
参,⿱厶彡,厶
參,⿱厽彡,厶
又,口,又
叉,口,又
及,口,又
友,口,又
双,⿰又又,又
反,⿸厂又,又
发,口,又
叒,品又,又
叔,⿰？又,又
叕,⿱双双,又
取,⿰耳又,又
受,⿱爫又,又
变,⿱亦又,又
叙,⿰余又,又
叚,⿰？又,又
叛,⿰半反,又
叟,⿱臼又,又
叠,⿱叒且,又
叢,⿱业取,又
口,⿴囗？,口
古,⿱十口,口
句,⿹勹口,口
另,⿱口力,口
叨,⿰口刀,口
叩,⿰口卩,口
只,⿱口八,口
叫,⿰口丩,口
召,⿱刀口,口
叭,⿰口八,口
叮,⿰口丁,口
可,口,口
台,⿱厶口,口
叱,⿰口匕,口
史,囗,口
右,囗,口
叵,⿷匚口,口
叶,⿰口十,口
号,⿱口丂,口
司,囗,口
叹,⿰口又,口
叻,⿰口力,口
叼,⿰口刁,口
叽,⿰口几,口
吁,⿰口于,口
吂,⿱亡口,口
吃,⿰口乞,口
各,⿱夂口,口
吆,⿰口幺,口
合,⿱亼口,口
吉,⿱士口,口
吊,⿱口巾,口
吋,⿰口寸,口
同,⿵冂口,口
名,⿱夕口,口
后,口,口
吏,⿱一史,口
吐,⿰口土,口
向,⿵冂口,口
吒,⿰口乇,口
吓,⿰口下,口
吕,⿱口口,口
吖,⿰口丫,口
吗,⿰口马,口
君,⿱尹口,口
吝,⿱文口,口
吞,⿱天口,口
吟,⿰口今,口
吠,⿰口犬,口
吡,⿰口比,口
吣,⿰口心,口
否,⿱不口,口
吧,⿰口巴,口
吨,⿰口屯,口
吩,⿰口分,口
含,⿱今口,口
听,⿰口斤,口
吭,⿰口亢,口
吮,⿰口允,口
启,⿸户口,口
吱,⿰口支,口
吲,⿰口引,口
吳,⿱口大,口
吴,⿱口天,口
吵,⿰口少,口
吶,⿰口內,口
吸,⿰口及,口
吹,⿰口欠,口
吻,⿰口勿,口
吼,⿰口孔,口
吾,⿱五口,口
呀,⿰口牙,口
呂,⿱口口,口
呃,⿰口厄,口
呆,⿱口木,口
呈,⿱口王,口
告,⿱牛口,口
呋,⿰口夫,口
呎,⿰口尺,口
呐,⿰口内,口
呑,⿱夭口,口
呒,⿰口无,口
呓,⿰口艺,口
呔,⿰口太,口
呕,⿰口区,口
呖,⿰口历,口
呗,⿰口贝,口
员,⿱口贝,口
呙,⿱口内,口
呛,⿰口仓,口
呜,⿰口乌,口
呢,⿰口尼,口
呣,⿰口母,口
呤,⿰口令,口
呦,⿰口幼,口
周,⿵冂？,口
呫,⿰口占,口
呱,⿰口瓜,口
呲,⿰口此,口
味,⿰口未,口
呵,⿰口可,口
呶,⿰口奴,口
呷,⿰口甲,口
呸,⿰口丕,口
呻,⿰口申,口
呼,⿰口乎,口
命,⿱人？,人
咀,⿰口且,口
咂,⿰口匝,口
咄,⿰口出,口
咅,⿱立口,口
咆,⿰口包,口
咋,⿰口乍,口
和,⿰禾口,口
咎,⿱处口,口
咏,⿰口永,口
咐,⿰口付,口
咑,⿰口打,口
咒,⿱吅几,口
咔,⿰口卡,口
咕,⿰口古,口
咖,⿰口加,口
咙,⿰口龙,口
咚,⿰口冬,口
咛,⿰口宁,口
咝,⿰口丝,口
咠,⿱口耳,口
咢,⿱吕亏,口
咣,⿰口光,口
咤,⿰口宅,口
咥,⿰口至,口
咦,⿰口夷,口
咧,⿰口列,口
咨,⿱次口,口
咩,⿰口羊,口
咪,⿰口米,口
咫,⿰尺只,口
咬,⿰口交,口
咭,⿰口吉,口
咯,⿰口各,口
咱,⿰口自,口
咳,⿰口亥,口
咴,⿰口灰,口
咸,⿰？戈,口
咻,⿰口休,口
咼,⿰?咼,口
咽,⿰口因,口
咾,⿰口老,口
咿,⿰口伊,口
哀,⿱亠衣,口
品,品口,口
哂,⿰口西,口
哄,⿰口共,口
哆,⿰口多,口
哇,⿰口圭,口
哈,⿰口合,口
哉,⿰？戈,戈
哌,⿰口？,口
响,⿰口向,口
哎,⿰口艾,口
哏,⿰口艮,口
哐,⿰口匡,口
哑,⿰口亚,口
哒,⿰口达,口
哓,⿰口尧,口
哔,⿰口毕,口
哕,⿰口岁,口
哗,⿰口华,口
哙,⿰口会,口
哚,⿰口朵,口
哜,⿰口齐,口
哝,⿰口农,口
哞,⿰口牟,口
哟,⿰口约,口
員,⿱口貝,口
哥,口,口
哦,⿰口我,口
哧,⿰口赤,口
哨,⿰口肖,口
哩,⿰口里,口
哪,⿰口那,口
哭,⿱吕犬,口
哮,⿰口孝,口
哱,⿰口孛,口
哲,⿱折口,口
哳,⿰口折,口
哺,⿰口甫,口
哼,⿰口亨,口
哽,⿰口更,口
哿,⿱加可,口
唁,⿰口言,口
唄,⿰口貝,口
唅,⿰口含,口
唆,⿰口夋,口
唇,⿱辰口,口
唉,⿰口矣,口
唎,⿰口利,口
唏,⿰口希,口
唐,⿸广口,口
唑,⿰口坐,口
唔,⿰口吾,口
唚,⿰口？,口
唛,⿰口麦,口
唝,⿰口贡,口
唠,⿰口劳,口
唢,⿰口？,口
唣,⿰口皂,口
唤,⿰口奂,口
唧,⿰口即,口
唪,⿰口奉,口
唫,⿰口金,口
唬,⿰口虎,口
售,⿱隹口,口
唯,⿰口隹,口
唰,⿰口刷,口
唱,⿰口昌,口
唳,⿰口戾,口
唵,⿰口奄,口
唷,⿰口育,口
唸,⿰口念,口
唼,⿰口妾,口
唾,⿰口垂,口
唿,⿰口忽,口
啁,⿰口周,口
啃,⿰口肯,口
啄,⿰口豖,口
商,⿵冂？,口
啇,⿵冂古,口
啉,⿰口林,口
啊,⿰口阿,口
問,⿵門口,口
啐,⿰口卒,口
啓,⿱？口,口
啕,⿰口匋,口
啖,⿰口炎,口
啚,⿱口㐭,口
啜,⿰口叕,口
啞,⿰口亞,口
啟,⿰启攵,口
啡,⿰口非,口
啤,⿰口卑,口
啥,⿰口舍,口
啦,⿰口拉,口
啧,⿰口责,口
啪,⿰口拍,口
啫,⿰口者,口
啬,⿱？回,十
啭,⿰口转,口
啮,⿰口齿,口
啰,⿰口罗,罒
啴,⿰口单,口
啵,⿰口波,口
啶,⿰口定,口
啷,⿰口郎,口
啸,⿰口肃,口
啻,⿱帝口,口
啼,⿰口帝,口
啾,⿰口秋,口
喀,⿰口客,口
喁,⿰口禺,口
喂,⿰口畏,口
喃,⿰口南,口
善,⿱羊口,口
喆,⿰吉吉,口
喇,⿰口剌,口
喈,⿰口皆,口
喉,⿰口侯,口
喊,⿰口咸,口
喋,⿰口枼,口
喏,⿰口若,口
喑,⿰口音,口
喔,⿰口屋,口
喘,⿰口耑,口
喙,⿰口彖,口
喚,⿰口奐,口
喜,⿱壴口,口
喝,⿰口曷,口
喟,⿰口胃,口
喧,⿰口宣,口
喨,⿰口亮,口
喪,⿱？衣,口
喬,⿰？喬,口
單,⿱吅？,口
喱,⿰口厘,口
喲,⿰口約,口
喳,⿰口查,口
喵,⿰口苗,口
喷,⿰口贲,口
喹,⿰口奎,口
喻,⿰口俞,口
喼,⿰口急,口
喽,⿰口娄,口
喾,⿱⺍告,口
喿,⿱品木,口
嗄,⿰口夏,口
嗅,⿰口臭,口
嗆,⿰口倉,口
嗇,⿱坐回,口
嗉,⿰口素,口
嗊,⿰口貢,口
